type,id
comment,2jVLPQWciBM
comment,jMt3LfpgKBI
comment,ZCE0oNwz9pk
comment,NkELZdBhZLM
comment,UVsnR7pySkM
comment,DAnWKlRe-xQ
comment,9B5CY7orvGA
comment,Amf7on3PDvk
comment,9Auq9mYxFEE
comment,LYUhL1vD1G8
comment,mU69V0vhZz4
comment,g72qfWdUq7Q
comment,o3_giOw4Vfo
comment,H0Daa8PobKo
comment,kZu_ojDI-Vk
comment,38IEolI8f-w
comment,HLtEPh4RJY4
comment,30nlVnZGSr0
comment,S2Oh4cqEmOg
comment,zTcXTHXUsy0
transcript,R1ZdGFjmRs0
comment,Y6YlGAWZUXg
comment,7oU3rgE7408
comment,coYw-eVU0Ks
comment,vOTiJkg1voo
comment,77chi-HIpqk
comment,yguQ1SzPM5U
comment,yguQ1SzPM5U
comment,EB4g7wecgTI
comment,V9gMX1KjK2I
comment,Yv3WqpHLCrc
transcript,bIDKhZ_4jLQ
transcript,luR70V5gdS0
comment,ESfMpo9ozrk
comment,MRfmD2k2e9I
comment,e96kTezqN4s
comment,NCSEJQQboRk
comment,-7jAVwbqCUE
comment,z1I7nBwa9z4
comment,xmyreVlevPU
transcript,heIKaaamvdc
comment,GW8I0q-xmIk
comment,iWz8JfaOVjM
comment,7w5flwOed8M
comment,DvY7bRY-nUE
comment,G4sRQB_vJjg
comment,HwZ5MGaf3qM
comment,k9VGtSuhHZc
comment,Y8rLsUj_Ues
comment,3G_QTvuAwhQ
comment,9n1on5gffYg
comment,Y2Z-Rg1H_OA
comment,uWcOZjWCLiY
comment,RGHNUE9Z3xI
comment,kbkKUbfT-Nw
comment,Ij7k1ozU6l0
comment,yCUBtGI-rng
comment,STeof5HqweQ
comment,gpYxTj2HBbI
comment,3PKM1074k7s
comment,DoNTZ9BDmcg
comment,zuOwXtoJdG4
comment,vXjSdneERUM
comment,bAydkFMXd9c
comment,m90e_Y1cHhw
comment,nr6rdTjDanI
comment,kgMO0j-DuE4
transcript,ZRGCRngvZcc
comment,DoNTZ9BDmcg
comment,efwjnbWKlvY
comment,Yt0wuk_bOXI
comment,ZrOjcOH-vk0
comment,Vbw_UdITDt0
comment,9O-kN3jiaM4
comment,ZB_1riRjWPM
comment,mad6bT7Q72Y
comment,xgYfyEUCDdE
comment,PoB4lqlZ4mY
comment,C42gi7CkoiU
comment,_ExlHbul0Tk
comment,g0iQDOicN5M
comment,xUh8H0gNyo0
comment,NQv5uIAKS18
comment,kZsQBYu_eKo
comment,wcLWxmhCAEw
comment,EFOgW75cRFw
comment,yO56qs3t-wo
comment,vtSAtH5pEic
comment,Rp2ZJgjf7tA
comment,jW4TpsIVoiM
comment,-Z8GyQqN79s
comment,XOosEKi45Ls
comment,mLnMq8aFu3c
comment,9QyQmL-mlV0
comment,XZzkHXuGvs4
comment,WXTaHFuvv4M
transcript,uxtaP9zIksk
comment,xFCpWQfUtfo
comment,QxEW1NzE0mM
transcript,190emwcnYJ4
comment,4EBo3s3SV_U
comment,O6b2kuWYfV0
comment,YinVcByjoxw
comment,AzLnXPbYri0
comment,cGVDc2HgOqU
comment,c3BVYe3uGEE
comment,Oo91hfKtl60
comment,J-2LGliOslY
comment,4d_dlvjAE0Y
comment,OgAusIUw3ag
comment,svWPAmB_DBg
comment,0BGM1a2FZHI
