vid,title,tag,time,duration,views,link
tZa4hs1MY3Y,Secret Service pushes back on allegations in response to Jan. 6 hearing l ABCNL,News,1 day ago,3:11,"143,423 views",https://www.youtube.com/watch?v=tZa4hs1MY3Y
oOcZRxBwZ1k,Trump Coup Nightmare: See The Moment Fox News Turns Amidst 'Devastating' Smoking Gun,News,15 hours ago,8:35,"1,129,023 views",https://www.youtube.com/watch?v=oOcZRxBwZ1k
jLkqmXmkVkE,Putin warns after Finland and Sweden invited to join NATO,News,15 hours ago,3:46,"73,366 views",https://www.youtube.com/watch?v=jLkqmXmkVkE
t2nu91KU25g,Biden loses Supreme Court ruling as court reins in EPA power,News,1 hour ago,1:41,"122,448 views",https://www.youtube.com/watch?v=t2nu91KU25g
tSJf6KEC5qc,India state on alert after Prophet Muhammad row beheading - BBC News,News,23 hours ago,2:41,"309,045 views",https://www.youtube.com/watch?v=tSJf6KEC5qc
WAWXj3GE9Tg,Supreme Court allows Biden to end 'Remain in Mexico' policy,News,1 hour ago,4:50,"53,805 views",https://www.youtube.com/watch?v=WAWXj3GE9Tg
l_FBDdTuGXQ,New revelations from sixth public Jan. 6 committee hearing,News,3 hours ago,2:44,"4,753 views",https://www.youtube.com/watch?v=l_FBDdTuGXQ
YP9A6nFdGIQ,Hallie Jackson NOW - June 28 | NBC News NOW,News,1 day ago,52:01,"82,767 views",https://www.youtube.com/watch?v=YP9A6nFdGIQ
vexE2GKg_zE,Will the G7 be able to bankrupt Russia? | DW News,News,1 day ago,3:56,"84,601 views",https://www.youtube.com/watch?v=vexE2GKg_zE
aRaZdMBLv0Y,Woman found dead following major gas explosion in England - BBC News,News,3 days ago,5:00,"127,604 views",https://www.youtube.com/watch?v=aRaZdMBLv0Y
oSIDpszSXLM,Ginni Thomas' Lawyer Has 'Serious Concerns' About Interview With Jan. 6 Committee,News,21 hours ago,5:03,"412,152 views",https://www.youtube.com/watch?v=oSIDpszSXLM
nAIAs7Forjg,G7 leaders insist they’re united over Ukraine War - BBC News,News,3 days ago,3:03,"232,723 views",https://www.youtube.com/watch?v=nAIAs7Forjg
PQi4NMorQAo,R. Kelly sentenced to 30 years in prison for sex trafficking,News,18 hours ago,2:53,"99,099 views",https://www.youtube.com/watch?v=PQi4NMorQAo
awMAB60fnXk,Where is Russia taking Ukraine's stolen grain? – BBC News,News,3 days ago,5:07,"199,906 views",https://www.youtube.com/watch?v=awMAB60fnXk
mE4akkdigDk,Will costly sanctions last as long as the war in Ukraine? | DW News,News,2 days ago,8:13,"180,632 views",https://www.youtube.com/watch?v=mE4akkdigDk
rNGYO1NFFFc,Travis Barker Hospitalized With Kourtney Kardashian by His Side | E! News,News,1 day ago,1:18,"103,119 views",https://www.youtube.com/watch?v=rNGYO1NFFFc
g7I_DRxFQAQ,"Global National: June 29, 2022 | NATO welcomes Sweden, Finland, names Russia as potential threat",News,14 hours ago,22:15,"28,574 views",https://www.youtube.com/watch?v=g7I_DRxFQAQ
3tZXQlh8vO4,Palm oil firms depriving tribes of millions of dollars - BBC News,News,4 days ago,15:37,"51,844 views",https://www.youtube.com/watch?v=3tZXQlh8vO4
vjWS75xtrZg,Hiru TV Paththare Visthare - හිරු ටීවී පත්තරේ විස්තරේ Live | 2022-06-30,News,Streamed 14 hours ago,1:22:31,"80,171 views",https://www.youtube.com/watch?v=vjWS75xtrZg
g6ARwRFHcDw,NATO: 'Russia poses the most significant and direct threat to our security',News,1 day ago,5:27,"73,415 views",https://www.youtube.com/watch?v=g6ARwRFHcDw
iRyR8VuKDcQ,Turkey removes objection to Finland and Sweden joining NATO | DW News,News,1 day ago,4:49,"426,110 views",https://www.youtube.com/watch?v=iRyR8VuKDcQ
VjRi6bcW2Qs,Nightly News Full Broadcast - June 28,News,1 day ago,19:22,"542,489 views",https://www.youtube.com/watch?v=VjRi6bcW2Qs
yWvkVVKr7-U,Bret Baier: This is stunning,News,1 day ago,3:48,"471,298 views",https://www.youtube.com/watch?v=yWvkVVKr7-U
FdO1uMtls44,News 1st: Lunch Time Sinhala News | (29-06-2022 ) දහවල් ප්‍රධාන ප්‍රවෘත්ති,News,Streamed 1 day ago,24:43,"60,478 views",https://www.youtube.com/watch?v=FdO1uMtls44
dXgNiQsML6w,Hallie Jackson NOW - June 27 | NBC News NOW,News,2 days ago,52:21,"146,994 views",https://www.youtube.com/watch?v=dXgNiQsML6w
o_gJljGAPis,Former federal prosecutor explains Trump's legal risks after Jan. 6 hearings,News,1 day ago,5:03,"63,306 views",https://www.youtube.com/watch?v=o_gJljGAPis
7E-nCgExajM,Right to abortion struck down by US Supreme Court - BBC News,News,5 days ago,9:49,"358,138 views",https://www.youtube.com/watch?v=7E-nCgExajM
BFTKzlXFeAk,Trump Insider Raided! Coup Plotter Has Phone Seized In ‘Bad News’ For MAGA-World,News,2 days ago,4:20,"803,171 views",https://www.youtube.com/watch?v=BFTKzlXFeAk
CTzSKBGqmYg,R. Kelly sentenced to 30 years in prison | ABCNL,News,16 hours ago,14:53,"46,282 views",https://www.youtube.com/watch?v=CTzSKBGqmYg
Bv-56hHYWAg,"Ukraine war: G7 leaders meet in Berlin, as rockets strike Kyiv",News,3 days ago,2:33,"113,791 views",https://www.youtube.com/watch?v=Bv-56hHYWAg
QFIp0qX9L8Y,Live: G7 leaders joint press conference (2/2) | DW News,News,Streamed 4 days ago,39:21,"73,064 views",https://www.youtube.com/watch?v=QFIp0qX9L8Y
5Jg9VfMTzpc,"Trump Fought Secret Service to Join Capitol Rioters, White House Aide Testifies",News,1 day ago,3:15,"116,601 views",https://www.youtube.com/watch?v=5Jg9VfMTzpc
9mElopuX6JM,Why are the biggest national rail strikes in 30 years happening in the UK? - BBC News,News,9 days ago,6:29,"156,710 views",https://www.youtube.com/watch?v=9mElopuX6JM
ocZPw3rVYUU,Live: G7 leaders joint press conference (1/2) | DW News,News,Streamed 4 days ago,11:41,"35,298 views",https://www.youtube.com/watch?v=ocZPw3rVYUU
ygP7zHrqzbI,Russia-Ukraine war exposes EU's Russian gas dependency | World News | English News | WION,News,5 days ago,4:02,"277,760 views",https://www.youtube.com/watch?v=ygP7zHrqzbI
PHOqj8L1t50,Half Russian separatist force in Ukraine 'dead or wounded' - BBC News,News,8 days ago,2:43,"1,161,570 views",https://www.youtube.com/watch?v=PHOqj8L1t50
VduZMlcDJRU,This Morning’s Top Headlines – June 28 | Morning News NOW,News,2 days ago,23:28,"73,223 views",https://www.youtube.com/watch?v=VduZMlcDJRU
CYMO1aDt0sA,Hundreds of thousands evacuated as floods ravage southern China - BBC News,News,7 days ago,2:12,"288,672 views",https://www.youtube.com/watch?v=CYMO1aDt0sA
yDAtjQ-8Ygo,Should German nuclear power plants run longer? | DW News,News,6 days ago,5:30,"110,081 views",https://www.youtube.com/watch?v=yDAtjQ-8Ygo
21aVpaAzOsE,News 1st: Prime Time Sinhala News - 10 PM | (29/06/2022) රාත්‍රී 10.00 ප්‍රධාන ප්‍රවෘත්ති,News,Streamed 23 hours ago,45:36,"56,232 views",https://www.youtube.com/watch?v=21aVpaAzOsE
A2EfbC38LG8,Officials investigating if 18-wheeler with dead migrants inside was 'cloned' by human smugglers,News,16 hours ago,2:07,"44,427 views",https://www.youtube.com/watch?v=A2EfbC38LG8
jS-7sosjfvY,"Oath-taking of Ferdinand “Bongbong” Marcos Jr. as 17th President of the Philippines | June 30, 2022",News,11 hours ago,7:18,"319,041 views",https://www.youtube.com/watch?v=jS-7sosjfvY
HVAXndf_FZQ,Georgia Mother Stabs Three Children To Death In Burning Home,News,2 days ago,1:58,"17,631 views",https://www.youtube.com/watch?v=HVAXndf_FZQ
3ZtV0HsYzmg,Russia tells BBC “we did not invade Ukraine” and there is “no war” there - BBC News,News,13 days ago,4:18,"1,803,287 views",https://www.youtube.com/watch?v=3ZtV0HsYzmg
roppVDDUJgo,Trains set on fire in India military hiring protests - BBC News,News,12 days ago,2:23,"459,682 views",https://www.youtube.com/watch?v=roppVDDUJgo
rG3vSGOdhDo,Special Report: List of Key Changes to Come Into Effect Under New Labour Laws From July 1,News,4 days ago,3:09,"922,716 views",https://www.youtube.com/watch?v=rG3vSGOdhDo
iUcJAmaWATU,Nightly News Full Broadcast - June 27,News,2 days ago,19:34,"592,604 views",https://www.youtube.com/watch?v=iUcJAmaWATU
o_7DB7XvK9o,Piers Morgan: This is shameful,News,3 days ago,5:53,"192,368 views",https://www.youtube.com/watch?v=o_7DB7XvK9o
XKe1qrQ5NtA,Google engineer says chatbot AI become sentient being - BBC News,News,2 weeks ago,3:00,"539,508 views",https://www.youtube.com/watch?v=XKe1qrQ5NtA
GedaqUzMjCI,"Pro-abortion protesters trap Arizona lawmakers in Capitol, as pregnancy centers attacked",News,2 days ago,12:05,"1,009,793 views",https://www.youtube.com/watch?v=GedaqUzMjCI
Q5fohZyzMIg,US: China and Russia's 'no-limit' partnership is concerning | World News | WION Fineprint,News,5 days ago,5:51,"146,226 views",https://www.youtube.com/watch?v=Q5fohZyzMIg
0B-mCcvKlNA,Defiant Russia replaces McDonald's with “Tasty” burger chain - BBC News,News,2 weeks ago,3:02,"530,608 views",https://www.youtube.com/watch?v=0B-mCcvKlNA
DsBIA61xtaI,Post analysis of explosive testimony from former aide Cassidy Hutchinson l ABC News,News,1 day ago,22:07,"498,396 views",https://www.youtube.com/watch?v=DsBIA61xtaI
54mpqppLr5I,Transgender swimmers banned from elite women’s races - BBC News,News,10 days ago,2:21,"279,325 views",https://www.youtube.com/watch?v=54mpqppLr5I
UVob8FMT6Rk,"LIVE: Supreme Court Overturns Roe v. Wade, Allows Bans On Abortions | NBC News",News,Streamed 5 days ago,10:34:26,"664,101 views",https://www.youtube.com/watch?v=UVob8FMT6Rk
_J6A7fAwUTk,"Supreme Court overturns Roe v. Wade, its landmark abortion ruling | full coverage",News,Streamed 5 days ago,4:21:56,"209,680 views",https://www.youtube.com/watch?v=_J6A7fAwUTk
0JbB5I7I__M,"Female abortion advocates are going on a sex strike, will it work?",News,6 hours ago,6:18,"138,470 views",https://www.youtube.com/watch?v=0JbB5I7I__M
6BaVxigauek,Lithuania Blockades Kaliningrad: What happens now? - TLDR News,News,8 days ago,8:18,"1,114,491 views",https://www.youtube.com/watch?v=6BaVxigauek
YzDbBJoPQmI,This Morning’s Top Headlines – June 27 | Morning News NOW,News,3 days ago,30:13,"56,637 views",https://www.youtube.com/watch?v=YzDbBJoPQmI
bBS8ms8sNyQ,Nightly News Full Broadcast - June 23,News,6 days ago,21:21,"472,676 views",https://www.youtube.com/watch?v=bBS8ms8sNyQ
QgolQan5MyM,"24 Oras Livestream: June 27, 2022 - Replay",News,Streamed 3 days ago,1:34:48,"411,847 views",https://www.youtube.com/watch?v=QgolQan5MyM
X3M5-3NKa-Y,Jan. 6 Committee Holds Public Hearing On 2021 Capitol Attack | NBC News,News,Streamed 1 day ago,2:46:09,"524,961 views",https://www.youtube.com/watch?v=X3M5-3NKa-Y
99iFAW9fvh8,British Army Chief warns UK and allies facing '1937 moment',News,2 days ago,23:36,"599,792 views",https://www.youtube.com/watch?v=99iFAW9fvh8
BxCXrvidmSw,"Two cornered, shot dead inside  Hickory Hill gas station",News,5 days ago,2:12,"697,753 views",https://www.youtube.com/watch?v=BxCXrvidmSw
VdFW-CCqdJw,Nightly News Full Broadcast - June 25,News,4 days ago,21:40,"831,407 views",https://www.youtube.com/watch?v=VdFW-CCqdJw
crzh8JTkQs4,Ethiopia: a border town ravaged by the Tigray conflict | DW News,News,9 days ago,7:15,"41,660 views",https://www.youtube.com/watch?v=crzh8JTkQs4
EHXvGiK18kM,NCT NEWS | 쿤 태일 양양 함께 'NCT LAB' 준비 중… (22.06.22) | THE NCT SHOW,News,8 days ago,17:08,"520,873 views",https://www.youtube.com/watch?v=EHXvGiK18kM
DPaW8jdKGjk,Morning News NOW Full Broadcast - June 24,News,6 days ago,51:37,"136,266 views",https://www.youtube.com/watch?v=DPaW8jdKGjk
