vid,title,tag,time,duration_min,views,link,view_10k
tZa4hs1MY3Y,Secret Service pushes back on allegations in response to Jan. 6 hearing l ABCNL,News,1 day ago,3.183333333333333,"143,423 views",https://www.youtube.com/watch?v=tZa4hs1MY3Y,14.3423
oOcZRxBwZ1k,Trump Coup Nightmare: See The Moment Fox News Turns Amidst 'Devastating' Smoking Gun,News,15 hours ago,8.583333333333334,"1,129,023 views",https://www.youtube.com/watch?v=oOcZRxBwZ1k,112.9023
jLkqmXmkVkE,Putin warns after Finland and Sweden invited to join NATO,News,15 hours ago,3.7666666666666666,"73,366 views",https://www.youtube.com/watch?v=jLkqmXmkVkE,7.3366
t2nu91KU25g,Biden loses Supreme Court ruling as court reins in EPA power,News,1 hour ago,1.6833333333333333,"122,448 views",https://www.youtube.com/watch?v=t2nu91KU25g,12.2448
tSJf6KEC5qc,India state on alert after Prophet Muhammad row beheading - BBC News,News,23 hours ago,2.683333333333333,"309,045 views",https://www.youtube.com/watch?v=tSJf6KEC5qc,30.9045
WAWXj3GE9Tg,Supreme Court allows Biden to end 'Remain in Mexico' policy,News,1 hour ago,4.833333333333333,"53,805 views",https://www.youtube.com/watch?v=WAWXj3GE9Tg,5.3805
l_FBDdTuGXQ,New revelations from sixth public Jan. 6 committee hearing,News,3 hours ago,2.7333333333333334,"4,753 views",https://www.youtube.com/watch?v=l_FBDdTuGXQ,0.4753
vexE2GKg_zE,Will the G7 be able to bankrupt Russia? | DW News,News,1 day ago,3.933333333333333,"84,601 views",https://www.youtube.com/watch?v=vexE2GKg_zE,8.4601
aRaZdMBLv0Y,Woman found dead following major gas explosion in England - BBC News,News,3 days ago,5.0,"127,604 views",https://www.youtube.com/watch?v=aRaZdMBLv0Y,12.7604
oSIDpszSXLM,Ginni Thomas' Lawyer Has 'Serious Concerns' About Interview With Jan. 6 Committee,News,21 hours ago,5.05,"412,152 views",https://www.youtube.com/watch?v=oSIDpszSXLM,41.2152
nAIAs7Forjg,G7 leaders insist they’re united over Ukraine War - BBC News,News,3 days ago,3.05,"232,723 views",https://www.youtube.com/watch?v=nAIAs7Forjg,23.2723
PQi4NMorQAo,R. Kelly sentenced to 30 years in prison for sex trafficking,News,18 hours ago,2.8833333333333333,"99,099 views",https://www.youtube.com/watch?v=PQi4NMorQAo,9.9099
awMAB60fnXk,Where is Russia taking Ukraine's stolen grain? – BBC News,News,3 days ago,5.116666666666666,"199,906 views",https://www.youtube.com/watch?v=awMAB60fnXk,19.9906
mE4akkdigDk,Will costly sanctions last as long as the war in Ukraine? | DW News,News,2 days ago,8.216666666666667,"180,632 views",https://www.youtube.com/watch?v=mE4akkdigDk,18.0632
rNGYO1NFFFc,Travis Barker Hospitalized With Kourtney Kardashian by His Side | E! News,News,1 day ago,1.3,"103,119 views",https://www.youtube.com/watch?v=rNGYO1NFFFc,10.3119
3tZXQlh8vO4,Palm oil firms depriving tribes of millions of dollars - BBC News,News,4 days ago,15.616666666666667,"51,844 views",https://www.youtube.com/watch?v=3tZXQlh8vO4,5.1844
g6ARwRFHcDw,NATO: 'Russia poses the most significant and direct threat to our security',News,1 day ago,5.45,"73,415 views",https://www.youtube.com/watch?v=g6ARwRFHcDw,7.3415
iRyR8VuKDcQ,Turkey removes objection to Finland and Sweden joining NATO | DW News,News,1 day ago,4.816666666666666,"426,110 views",https://www.youtube.com/watch?v=iRyR8VuKDcQ,42.611
VjRi6bcW2Qs,Nightly News Full Broadcast - June 28,News,1 day ago,19.366666666666667,"542,489 views",https://www.youtube.com/watch?v=VjRi6bcW2Qs,54.2489
yWvkVVKr7-U,Bret Baier: This is stunning,News,1 day ago,3.8,"471,298 views",https://www.youtube.com/watch?v=yWvkVVKr7-U,47.1298
o_gJljGAPis,Former federal prosecutor explains Trump's legal risks after Jan. 6 hearings,News,1 day ago,5.05,"63,306 views",https://www.youtube.com/watch?v=o_gJljGAPis,6.3306
7E-nCgExajM,Right to abortion struck down by US Supreme Court - BBC News,News,5 days ago,9.816666666666666,"358,138 views",https://www.youtube.com/watch?v=7E-nCgExajM,35.8138
