vid,start,end,text
ZpUEFhPIALk,11440,14080,jb and we keep you informed i'm michelle
ZpUEFhPIALk,14080,16320,drones and in the news teachers
ZpUEFhPIALk,16320,18320,sentenced over 30 years of sexual
ZpUEFhPIALk,18320,21199,assault and murder 13 year old
ZpUEFhPIALk,21199,23439,a kingston teacher has been sentenced to
ZpUEFhPIALk,23439,25439,more than 30 years in prison for sexual
ZpUEFhPIALk,25439,28400,assault and murder for 13 year old girl
ZpUEFhPIALk,28400,30560,sanju mahraj who was charged with the
ZpUEFhPIALk,30560,32800,killing of thirteen-year-old shannon ray
ZpUEFhPIALk,32800,34480,was sentenced on thursday in the home
ZpUEFhPIALk,34480,35680,circuit court
ZpUEFhPIALk,35680,38000,chonuya's remains were discovered inside
ZpUEFhPIALk,38000,40239,maharaja's bathtub on wally close
ZpUEFhPIALk,40239,44160,kingston six on friday july 20 2018. he
ZpUEFhPIALk,44160,45520,had poured caustic sword on other
ZpUEFhPIALk,45520,47520,chemicals in her body causing it to
ZpUEFhPIALk,47520,50239,deteriorate rapidly he plead guilty to
ZpUEFhPIALk,50239,52480,and was sentenced as followers having
ZpUEFhPIALk,52480,54239,sexual intercourse with a person under
ZpUEFhPIALk,54239,57440,16 four counts 12 years imprisonment
ZpUEFhPIALk,57440,60239,murder 21 years imprisonment and trying
ZpUEFhPIALk,60239,62320,to dispose of a corpse two years in
ZpUEFhPIALk,62320,64878,prison at hard labor the sentences are
ZpUEFhPIALk,64878,66960,to run consecutively
ZpUEFhPIALk,66960,69360,illegal guns seized in kingston manora
ZpUEFhPIALk,69360,71760,said the police are reporting the siege
ZpUEFhPIALk,71760,74000,of an illegal gun and ammunition and the
ZpUEFhPIALk,74000,75600,arrest of a man on crook street in
ZpUEFhPIALk,75600,76640,kingston
ZpUEFhPIALk,76640,78320,the police report that cops were on
ZpUEFhPIALk,78320,80159,operation in the area where several
ZpUEFhPIALk,80159,82080,premises were searched while the
ZpUEFhPIALk,82080,84320,operation was being conducted a man was
ZpUEFhPIALk,84320,86560,held as it was observed attempting to
ZpUEFhPIALk,86560,89759,add an object according to the police
ZpUEFhPIALk,89759,91439,the police say further investigation
ZpUEFhPIALk,91439,93759,revealed it was a nine millimeter arcus
ZpUEFhPIALk,93759,95920,pistol and nine nine millimeter rounds
ZpUEFhPIALk,95920,98159,of ammunition it was subsequently
ZpUEFhPIALk,98159,100240,arrested in connection to the seizure
ZpUEFhPIALk,100240,102320,its identity has been withheld pending
ZpUEFhPIALk,102320,104560,further investigations
ZpUEFhPIALk,104560,106960,spanish stone woman in fair
ZpUEFhPIALk,106960,109280,several women in war-torn communities in
ZpUEFhPIALk,109280,111360,spanish town saint catherine say they
ZpUEFhPIALk,111360,112880,are fearful of vengering onto their
ZpUEFhPIALk,112880,115200,verandas as they've been told that they
ZpUEFhPIALk,115200,116960,are marked for death
ZpUEFhPIALk,116960,118719,one of these women a senior said that
ZpUEFhPIALk,118719,120880,she has hardly eaten or slept in peace
ZpUEFhPIALk,120880,122479,since she heard that her name is on the
ZpUEFhPIALk,122479,125119,death list the senior citizen whose
ZpUEFhPIALk,125119,127040,identity has been withheld said the
ZpUEFhPIALk,127040,129039,situation is causing her a great deal of
ZpUEFhPIALk,129039,131599,distress she said that she's afraid of
ZpUEFhPIALk,131599,133840,even venturing to her gate night and
ZpUEFhPIALk,133840,136480,dear me inner fear mr big man we have
ZpUEFhPIALk,136480,138319,people older than most of them young boy
ZpUEFhPIALk,138319,140319,are wearing upon them with gone miss
ZpUEFhPIALk,140319,142319,afraid right now not not even random if
ZpUEFhPIALk,142319,144160,you look comfortable for gopan from the
ZpUEFhPIALk,144160,146000,ear said that minimum the panel did list
ZpUEFhPIALk,146000,148800,is that made on fool she's sad i didn't
ZpUEFhPIALk,148800,150720,tell mulla make sure i forget some sleep
ZpUEFhPIALk,150720,152800,but then it's so mere may get paranoid
ZpUEFhPIALk,152800,155120,she added the elderly woman says she has
ZpUEFhPIALk,155120,157200,not visited her church in a month out of
ZpUEFhPIALk,157200,158959,fear that she could be attacked and
ZpUEFhPIALk,158959,161680,killed another woman said the death of a
ZpUEFhPIALk,161680,163760,woman in the community recently has
ZpUEFhPIALk,163760,165519,fueled her fears that she could be the
ZpUEFhPIALk,165519,167120,target of gunmen
ZpUEFhPIALk,167120,168959,mafia take taxi everywhere may go and
ZpUEFhPIALk,168959,170800,it's just costing me a lot of money
ZpUEFhPIALk,170800,172080,right now it's like everything triggered
ZpUEFhPIALk,172080,174480,me fear yet i mean the outside the gate
ZpUEFhPIALk,174480,176480,as a tree police departure drive coming
ZpUEFhPIALk,176480,179040,right and run off an official seminar
ZpUEFhPIALk,179040,181120,police say no she said
ZpUEFhPIALk,181120,183280,when contacted for a comment senior
ZpUEFhPIALk,183280,185760,superintendent howard chambers who is
ZpUEFhPIALk,185760,187280,the commanding officer for the saint
ZpUEFhPIALk,187280,189599,catherine north division said he was not
ZpUEFhPIALk,189599,191920,aware of the so-called death list it is
ZpUEFhPIALk,191920,193440,the first time hearing about this list
ZpUEFhPIALk,193440,195599,of names but i can tell you that a
ZpUEFhPIALk,195599,197599,number of persons lives are at risk
ZpUEFhPIALk,197599,200640,chambers said the synocrine fighter said
ZpUEFhPIALk,200640,202640,the men and women under his command are
ZpUEFhPIALk,202640,204560,working seriously to restore peace and
ZpUEFhPIALk,204560,206720,order in the blood-soaked parish we have
ZpUEFhPIALk,206720,208319,a number of gang-related activities
ZpUEFhPIALk,208319,210799,taking place within a very small space
ZpUEFhPIALk,210799,213280,between valdez road and homestead we
ZpUEFhPIALk,213280,214879,have been doing a series of operations
ZpUEFhPIALk,214879,216879,and importantly we have been getting the
ZpUEFhPIALk,216879,219120,support from other sections of the force
ZpUEFhPIALk,219120,221360,specialized operations sea talk the
ZpUEFhPIALk,221360,223760,military and we have been doing routine
ZpUEFhPIALk,223760,226319,and non-routine types of operations high
ZpUEFhPIALk,226319,228799,visibility type of operations chambers
ZpUEFhPIALk,228799,229840,said
ZpUEFhPIALk,229840,232159,a state of public emergency was declared
ZpUEFhPIALk,232159,234640,for saint catherine on june 17 it will
ZpUEFhPIALk,234640,237599,run for at least 14 days
ZpUEFhPIALk,237599,239439,more claims of innocence from gang
ZpUEFhPIALk,239439,242080,accused as he accused members of the wan
ZpUEFhPIALk,242080,244239,don gang continue to disassociate
ZpUEFhPIALk,244239,246560,themselves from criminal antecedents
ZpUEFhPIALk,246560,248799,another described himself thursday as
ZpUEFhPIALk,248799,251200,just an innocent owned body who doesn't
ZpUEFhPIALk,251200,253120,even know what a gun looks like the
ZpUEFhPIALk,253120,256239,defendant dylan mclean was identified by
ZpUEFhPIALk,256239,258320,a former top tier member as one of the
ZpUEFhPIALk,258320,260560,gang scouts and bodyguard for reputed
ZpUEFhPIALk,260560,263040,young leader andre blackmon bran the
ZpUEFhPIALk,263040,265520,prosecution witness would also claim to
ZpUEFhPIALk,265520,267520,be one of brian's drivers i told the
ZpUEFhPIALk,267520,269520,court that he had seen mclean removing
ZpUEFhPIALk,269520,271280,an intratext submachine gun from his
ZpUEFhPIALk,271280,273199,roof and also saw with a gun in the
ZpUEFhPIALk,273199,274960,shelter or community in spanish town
ZpUEFhPIALk,274960,276400,saint catherine
ZpUEFhPIALk,276400,278960,but the 26 year old railroad attendant
ZpUEFhPIALk,278960,280639,while giving an unsown statement
ZpUEFhPIALk,280639,282639,thursday said the witness was not being
ZpUEFhPIALk,282639,284880,truthful it declared that it was
ZpUEFhPIALk,284880,287280,innocent of all charges this man even
ZpUEFhPIALk,287280,288800,come telling lies that i have a gun in
ZpUEFhPIALk,288800,291120,my roof and i don't have a board top sir
ZpUEFhPIALk,291120,293520,all of my ulsa concrete this manifold
ZpUEFhPIALk,293520,295680,sema lookout for the gang and bodyguard
ZpUEFhPIALk,295680,298160,for a man which sir sometimes if i'm at
ZpUEFhPIALk,298160,300880,worm i'll be on my wall taking wi-fi and
ZpUEFhPIALk,300880,302639,a lady across the chapel then i'll list
ZpUEFhPIALk,302639,305199,me all the time he said while insisting
ZpUEFhPIALk,305199,306400,that you have no knowledge about the
ZpUEFhPIALk,306400,308560,witnesses claims i have never owned a
ZpUEFhPIALk,308560,310720,gun yet our fire gun yet and this
ZpUEFhPIALk,310720,312479,monster may have an intratext submachine
