vid,start,end,text
3jYqDuzVR7A,1839,4000,she solved her own homicide
3jYqDuzVR7A,4000,6319,she she solved it she made sure that he
3jYqDuzVR7A,6319,8559,was going to go down and that her her
3jYqDuzVR7A,8559,10639,death wasn't going to go in vain
3jYqDuzVR7A,10639,12000,now for the night team a valley
3jYqDuzVR7A,12000,14400,grandmother that many in glendale knew
3jYqDuzVR7A,14400,16960,as a teacher and a coach murdered after
3jYqDuzVR7A,16960,18640,making a food delivery just three
3jYqDuzVR7A,18640,20400,minutes from her home and tonight the
3jYqDuzVR7A,20400,22880,suspect is behind bars all of it thanks
3jYqDuzVR7A,22880,25199,to a picture the grandmother took before
3jYqDuzVR7A,25199,27199,she was shot and killed the victim's
3jYqDuzVR7A,27199,28880,daughter sitting down with team 12's
3jYqDuzVR7A,28880,31840,adriana loya remembering her mother as a
3jYqDuzVR7A,31840,35520,strong fighter until the end
3jYqDuzVR7A,35520,38559,at 60 years old pamela martinez was
3jYqDuzVR7A,38559,40719,stronger and healthier than ever she
3jYqDuzVR7A,40719,42640,loved to work out she was she loved
3jYqDuzVR7A,42640,44879,health all around she was a bodybuilder
3jYqDuzVR7A,44879,47360,up until about 59
3jYqDuzVR7A,47360,48960,she at least had
3jYqDuzVR7A,48960,51680,40 more years if not more but about a
3jYqDuzVR7A,51680,53760,month away from her birthday she was
3jYqDuzVR7A,53760,55920,senselessly murdered she did not deserve
3jYqDuzVR7A,55920,59199,that at all no one does on june 11 the
3jYqDuzVR7A,59199,61440,retired teacher and coach was on her way
3jYqDuzVR7A,61440,63199,home after finishing her last foot
3jYqDuzVR7A,63199,65198,delivery of the day as an ubereats
3jYqDuzVR7A,65198,68159,driver when near 61st avenue just north
3jYqDuzVR7A,68159,70640,of bell road she was shot and killed by
3jYqDuzVR7A,70640,72640,another driver there must have been some
3jYqDuzVR7A,72640,74000,sort of altercation because they were
3jYqDuzVR7A,74000,75280,pulled off to the side of the road
3jYqDuzVR7A,75280,77439,there's a possibility that it was some
3jYqDuzVR7A,77439,80000,type of road rage that had occurred
3jYqDuzVR7A,80000,81439,but we just don't know
3jYqDuzVR7A,81439,83600,a witness telling police he was driving
3jYqDuzVR7A,83600,86000,by when he saw a man standing outside of
3jYqDuzVR7A,86000,88240,pamela's car on the driver's side the
3jYqDuzVR7A,88240,90159,man then allegedly walked over to his
3jYqDuzVR7A,90159,92159,minivan and drove off that's when
3jYqDuzVR7A,92159,94720,pamela's car slowly veered off the road
3jYqDuzVR7A,94720,97680,onto a wash paramedics breaking into her
3jYqDuzVR7A,97680,100560,car to get her out and render aid but
3jYqDuzVR7A,100560,102000,she was gone
3jYqDuzVR7A,102000,103840,before the shooting and after the
3jYqDuzVR7A,103840,106240,alleged altercation police say pamela
3jYqDuzVR7A,106240,108079,rolled down her passenger window and
3jYqDuzVR7A,108079,110640,snapped a clear photo of the suspect
3jYqDuzVR7A,110640,113360,that led police to 62-year-old rusty
3jYqDuzVR7A,113360,115439,raymond french who now faces
3jYqDuzVR7A,115439,117520,second-degree murder charges and the
3jYqDuzVR7A,117520,119680,photograph that she took was of the van
3jYqDuzVR7A,119680,122079,that the witness described and of that
3jYqDuzVR7A,122079,125200,man sitting in his van in a post miranda
3jYqDuzVR7A,125200,127200,interview records say rusty french
3jYqDuzVR7A,127200,129360,admitted to being the man in the picture
3jYqDuzVR7A,129360,131360,but that he blacked out afterwards
3jYqDuzVR7A,131360,133599,during the interview he allegedly showed
3jYqDuzVR7A,133599,136160,no remorse she solved her own homicide
3jYqDuzVR7A,136160,138160,and i'm blessed that she did that
3jYqDuzVR7A,138160,140640,because if not this would be even harder
3jYqDuzVR7A,140640,143280,monique daniels heartbroken her mother
3jYqDuzVR7A,143280,145120,won't be here to welcome her fourth
3jYqDuzVR7A,145120,147680,grandchild to the world you know getting
3jYqDuzVR7A,147680,150080,justice is great and all but
3jYqDuzVR7A,150080,152000,it doesn't fix anything she's not coming
3jYqDuzVR7A,152000,154400,back the single mother of two leaving
3jYqDuzVR7A,154400,156879,behind a legacy no idea
3jYqDuzVR7A,156879,158720,the worlds you've changed the lives
3jYqDuzVR7A,158720,160480,you've devastated and the person you
3jYqDuzVR7A,160480,162239,took from everybody i would like her to
3jYqDuzVR7A,162239,164080,be remembered as a strong independent
3jYqDuzVR7A,164080,166800,motivational determined woman who did
3jYqDuzVR7A,166800,168319,anything and everything she could to
3jYqDuzVR7A,168319,170879,make sure she made it adriana loya 12
3jYqDuzVR7A,170879,173280,news
