vid,start,end,text
ixdxmLe-lYI,9709,12378,>> WHAT THEY ARE ON PINS AND 
ixdxmLe-lYI,12378,14814,NEEDLES AND SO IT SEEMS SO. SO 
ixdxmLe-lYI,14814,15414,"YEAH, NATIONAL FASHION "
ixdxmLe-lYI,15414,17617,COMPETITION WILL BE DECIDED 
ixdxmLe-lYI,17617,18751,THIS WEEK AND A LOCAL STUDENTS 
ixdxmLe-lYI,18751,21421,FUTURE LOOMS ON THE OUTCOME. 
ixdxmLe-lYI,21421,22455,WE HAVE THIS YARN IN A 
ixdxmLe-lYI,22455,23156,"FASHIONABLE BUILDING, BETTER "
ixdxmLe-lYI,23156,28861,MINES. 
ixdxmLe-lYI,28861,32298,>> IS LIKE OKAY. THEY'RE LIGHT 
ixdxmLe-lYI,32298,33066,WENT OFF AND NOW MY TRAIN IS 
ixdxmLe-lYI,33066,37203,UP. WE'RE GOING HOP ON. I'M 
ixdxmLe-lYI,37203,37937,GOING TO PUT WING AND WE'RE 
ixdxmLe-lYI,37937,41674,GOING MAKE THIS HAPPEN. 
ixdxmLe-lYI,41674,42642,>> CAN YOU TELL MISS NEWTON 
ixdxmLe-lYI,42642,43942,BOWLING HAS A PASSION FOR 
ixdxmLe-lYI,43942,45478,FASHION. IT'S RUBBED OFF ON 
ixdxmLe-lYI,45478,47012,RISING 11TH GRADER ANGEL 
ixdxmLe-lYI,47012,49582,HARRISON AND HER TRAIN IS 
ixdxmLe-lYI,49582,50916,RUNNING ALL THE WAY TO SAN 
ixdxmLe-lYI,50916,53820,DIEGO FOR A NATIONAL 
ixdxmLe-lYI,53820,54220,COMPETITION 
ixdxmLe-lYI,54220,56623,>> FIRST PLACE IN THE STATE 
ixdxmLe-lYI,56623,57424,COMPETITION BASICALLY HAD TO 
ixdxmLe-lYI,57424,58857,MAKE THE DOW COLLECTION AND 
ixdxmLe-lYI,58857,61361,THEN SELL IT. SO THE PANEL AND 
ixdxmLe-lYI,61361,62462,THE PANEL BOUGHT IN BIG TIME. 
ixdxmLe-lYI,62462,63363,>> SHE'S THE FIRST STUDENT 
ixdxmLe-lYI,63363,64530,FROM PETERSBURG TO MAKE IT TO 
ixdxmLe-lYI,64530,65464,THE HIGH SCHOOL FASHION DESIGN 
ixdxmLe-lYI,65464,68267,NATIONAL COMPETITION. NOT BAD 
ixdxmLe-lYI,68267,69702,FOR SOMEONE WHO DIDN'T KNOW 
ixdxmLe-lYI,69702,71204,FASHION BASICS. JUST A COUPLE 
ixdxmLe-lYI,71204,74474,"OF YEARS AGO, WE ACTUALLY "
ixdxmLe-lYI,74474,75174,"STARTED AND SHE WAS LIKE, OH, "
ixdxmLe-lYI,75174,76209,I'M GOING TO TAKE THIS CLASS 
ixdxmLe-lYI,76209,77277,AND 
ixdxmLe-lYI,77277,78911,>> SEE WHAT I CAN COME UP 
ixdxmLe-lYI,78911,81414,WITH. AND FROM THERE SHE CAME 
ixdxmLe-lYI,81414,82248,"IN. IT WAS LIKE, ARE YOU SURE "
ixdxmLe-lYI,82248,83816,YOU HAVE NEVER. SOHN BEFORE 
ixdxmLe-lYI,83816,87420,ANGEL CAME UP WITH SOMETHING 
ixdxmLe-lYI,87420,88187,"UNIQUE, KIDS ARE PICKY, WHICH "
ixdxmLe-lYI,88187,91724,IS SWAHILI FOR TROPICAL I BASE 
ixdxmLe-lYI,91724,92458,MY WHOLE DOWN COLLECTION OF 
ixdxmLe-lYI,92458,93726,THE TROPICAL RAIN FOREST COULD 
ixdxmLe-lYI,93726,97363,BECAUSE THEIR MOST IN DANGER 
ixdxmLe-lYI,97363,100733,HABITAT AND SO MY WHOLE 
ixdxmLe-lYI,100733,103670,COLLECTION BASED OFF AND WAS 
ixdxmLe-lYI,103670,104670,IMPLANTS OF THE TRUMP GOING 
ixdxmLe-lYI,104670,105437,FOR TO STOP. IT HELPS LEARNING 
ixdxmLe-lYI,105437,106171,FROM A FASHION INDUSTRY THAT 
ixdxmLe-lYI,106171,107407,LIKE MISS NEWTON BOWLING. 
ixdxmLe-lYI,107407,108975,WE'LL TELL YOU IT TAKES MORE 
ixdxmLe-lYI,108975,110376,THAN NEEDLES AND THREAD TO 
ixdxmLe-lYI,110376,113479,SUCCEED IS NOT JUST ALL 
ixdxmLe-lYI,113479,114714,MISSING. SO SHOWING THEM THE 
ixdxmLe-lYI,114714,115648,DIGITAL ARTWORK SHOWING THEM 
ixdxmLe-lYI,115648,117616,WHERE THEY TURN THEIR DESIGNS 
ixdxmLe-lYI,117616,118484,INTO SOMETHING THAT SOMEBODY 
ixdxmLe-lYI,118484,119051,ELSE WOULD WANT. 
ixdxmLe-lYI,119051,120753,>> AND HOW TO MAKE MONEY DOING 
ixdxmLe-lYI,120753,123923,DRESS FOR SUCCESS. ALSO 
ixdxmLe-lYI,123923,124690,INVOLVES TEAMWORK. WHY HE 
ixdxmLe-lYI,124690,126159,HELPED ME BECAUSE HE'S LIKE HE 
ixdxmLe-lYI,126159,127860,CAN DO LIKE THE DIGITAL 
ixdxmLe-lYI,127860,128461,ARTWORK INFO. 
ixdxmLe-lYI,128461,129629,>> HE HAS THE GOOD MATERIALS. 
ixdxmLe-lYI,129629,130496,SO HE HELPED ON THAT PART. A 
ixdxmLe-lYI,130496,131097,PASSION FOR FASHION IS 
ixdxmLe-lYI,131197,132699,BUILDING GREAT CLOTHING 
ixdxmLe-lYI,132699,133766,DESIGNS AND BUILDING BETTER 
ixdxmLe-lYI,133766,138938,"MIGHT. BY THE WAY, ARE ANGEL "
ixdxmLe-lYI,138938,140139,ARRIVED IN SAN DIEGO 
ixdxmLe-lYI,140139,140973,YESTERDAY. THE RESULTS WILL BE 
ixdxmLe-lYI,140973,143276,RELEASED THIS WEEKEND. AND OF 
ixdxmLe-lYI,143276,144510,"COURSE, WE WISH YOU THE BEST "
ixdxmLe-lYI,144510,145244,"OF YES, WE DO WHAT WE WANT "
ixdxmLe-lYI,145244,146012,HEAR ABOUT INSPIRING PEOPLE IN 
ixdxmLe-lYI,146012,151551,YOUR SCHOOL. 
