ZVYqB0uTKlE,UgjI3lFsYW6y1XgCoAEC,"Shows just how brilliantly written, acted, and researched this show was. Without doubt the best sitcom this country ever produced.",3.5K
ZVYqB0uTKlE,Ugz878h86-kTDMCGbrJ4AaABAg,"“You might get away with calling it EuroClub Express” got a big laugh out of me. People generally hate mandatory licenses, but we LOVE belonging to exclusive clubs.",77
ZVYqB0uTKlE,UgzhsVs74NsgLVjuhbd4AaABAg,00:27,2K
ZVYqB0uTKlE,UgzTeQ6aQ9ap6RpGgJ54AaABAg,"I remember when “Yes, Minister” was aired in the United States.  I was a teenager, and assumed I would NEVER understand the show.  It only took me thirty years of life experience to understand and appreciate the show.",407
ZVYqB0uTKlE,UgwOxyOF_gkN_5m14dR4AaABAg,"I just love how ""Yes, Minister"" was a Brexit meme 40 years ahead of time.",3.6K
ZVYqB0uTKlE,Ugxc_7XfXs1qubpsWyZ4AaABAg,This series really never gets old. Really a timeless classic.,426
ZVYqB0uTKlE,UgzTwEuyMHs28CYdyqV4AaABAg,"Well he was being totally honest about historic British foreign policy, it was always to prevent any one power from dominating Europe.",2.2K
ZVYqB0uTKlE,Ugza0IBLOCCENwG1DN14AaABAg,"Writing a 10,000 word dissertation on Brexit atm. I might quote this as an academic source because it makes more sense than actual Brexit negotiations at the moment.",6.6K
ZVYqB0uTKlE,UgxAj8WjKyR6hbTNVAp4AaABAg,"""Now that we're inside we can make a complete pig's breakfast of the whole thing!"" Sir Nigel Hawthorne's enthusiasm for these lines is awe-inspiring.",706
ZVYqB0uTKlE,UgzTNDRsoCg9gqUbyyd4AaABAg,I return to this series every few years and it never disappoints. If anything it seems to improve with age. The best written and acted sitcom there's ever been.,70
ZVYqB0uTKlE,UgxsRZkXj8IvdPsPOVp4AaABAg,"""They'll think im introducing a police state, again"".",1.4K
ZVYqB0uTKlE,UgznH-SpaKT9gK_tDYB4AaABAg,"""Surely the Foreign office is pro-Europe isn't it?""",1.7K
